route_id,route_number,route_direction,source_id,destination_id,source_name,destination_name,route_type_id,route_name,via,google_distance,google_time,deleted_status
16253,36-G KHC-ANBL,UP,8293,4933,Vidhana Soudha Karnataka High Court ,Avalahalli New BDA Layout,3,Karnataka High Court To Avalahalli New BDA Layout,KR Circle KR Market Chamarajapete Ganesh Bhavana,10014,2107,0
28978,360 Fly Over,UP,3014,8546,KR Market (Kalasipalya),Attibele Bus Stand,3,KR Market To Attibele,Electronic City Fly Over,60733,6455,0
29732,360 Fly Over,DOWN,8546,3014,Attibele Bus Stand,KR Market (Kalasipalya),3,Attibele To KR Market,Electronic City Fly Over,35475,4905,0
10314,360 TRML-ELC,UP,7427,42,TR Mill,Electronic City (Towards Attibele),3,TR Mill To Electronic City,Chamarajapete Nimhans Hospital Koramangala Water Tank Bommanahalli,20386,2071,0
21345,360 UFLYO,UP,3014,8546,KR Market (Kalasipalya),Attibele Bus Stand,3,KR Market To Attibele,Madivala,41987,5008,0
28633,360 UFLYO,DOWN,8546,3014,Attibele Bus Stand,KR Market (Kalasipalya),3,Attibele To KR Market,Madivala,35785,5007,0
27321,360-A,UP,3014,12181,KR Market (Kalasipalya),Attibele Border ,3,KR Market To Attibele Border ,Lalbagh Main Gate Madivala Electronic City Chandapura Attibele ,34116,3988,0
32034,360-A,DOWN,12182,10870,Attibele Border ,KR Market (Kalasipalya),3,Attibele Border To KR Market,Attibele Chandapura Electronic City Silk Board Lalbagh Main Gate ,33733,4325,0
34839,360-AC,DOWN,8546,49,Attibele Bus Stand,Central Silk Board (Towards Kuvempunagara),3,Attibele Bus Stand To Central Silk Board,Chandapura  Electronic City,,27594,2900
34840,360-AC,UP,29,8546,Central Silk Board UFLY,Attibele Bus Stand,3,Central Silk Board UFLY To Attibele Bus Stand,Electronic City  Chandapura,29581,2650,0
36280,360-B ATB-DPN,DOWN,8546,8409,Attibele Bus Stand,Deepanjalinagara,3,Attibele To Deepanjalinagara,Chandapura Madivala Wilson Garden Kempegowda Bus Station Magadi Road Vijayanagara,51121,6963,0
25197,360-B ATB-SMH,UP,8546,3296,Attibele Bus Stand,Summanahalli,3,Attibele To Summanahalli,Kempegowda Bus Station Magadi Road,41419,5749,0
30396,360-B D31-ATM,UP,3653,8546,Depot-31 Gate,Attibele Bus Stand,3,Depot-31 Gate To Attibele,Kamakshipalya Tollgate Kempegowda Bus Station Corporation Madivala Electronic City Chandapura,50378,7317,0
44801,360-B DPJN-ATB,UP,8409,8546,Deepanjalinagara,Attibele Bus Stand,3,Deepanjalinagara To Attibele,Vijayanagara Tollgate Kempegowda Bus Station Maharani College Corporation Madivala Chandapura,45020,6304,0
35500,360-B VTTMC-ATB,UP,5473,8546,Vijayanagara TTMC,Attibele Bus Stand,3,Vijayanagara TTMC To Attibele,Magadi Road Kempegowda Bus Station Madivala Electronic City Chandapura,45397,6134,0
23611,360-C,UP,3014,7085,KR Market (Kalasipalya),Balluru,3,KR Market To Balluru,Bommanahalli,46289,5607,0
32035,360-C,DOWN,7086,3014,Balluru,KR Market (Kalasipalya),3,Balluru To KR Market,Bommanahalli,38171,4924,0
25689,360-D,UP,3014,9519,KR Market (Kalasipalya),Manchanahalli,3,KR Market To Manchanahalli,Attibele,44222,5304,0
29244,360-D,DOWN,9520,3014,Manchanahalli,KR Market (Kalasipalya),3,Manchanahalli To KR Market,Attibele,36088,4594,0
28831,360-E,UP,3014,383,KR Market (Kalasipalya),Bidaraguppe Towards Sarjapura),3,KR Market To Bidaraguppe,Attibele,44974,5329,0
29239,360-E,DOWN,5173,3014,Bidaraguppe (Towards Attibele),KR Market (Kalasipalya),3,Bidaraguppe To KR Market,Attibele,36967,4598,0
28806,360-G,UP,480,8546,Shivajinagara Bus Station,Attibele Bus Stand,3,Shivajinagara Bus Station To Attibele,Adugodi,38237,4552,0
29232,360-G,DOWN,8546,6358,Attibele Bus Stand,Shivajinagara Bus Station,3,Attibele To Shivajinagara Bus Station,Adugodi,33105,4583,0
29241,360-G HDH-SBS,DOWN,3347,6358,Haldenahalli,Shivajinagara Bus Station,3,Haldenahalli To Shivajinagara Bus Station,Attibele Madivala,42001,5234,0
29611,360-H,UP,3014,3376,KR Market (Kalasipalya),Kodalipura,3,KR Market To Kodalipura,Attibele,42374,4857,0
32036,360-H,DOWN,3377,3014,Kodalipura,KR Market (Kalasipalya),3,Kodalipura To KR Market,Madivala,39070,4821,0
22357,360-J,UP,160,3116,Kempegowda Bus Station,Handenahalli Attibele,3,Kempegowda Bus Station To Handenahalli,Attibele,51419,6214,0
29233,360-J,DOWN,3115,8456,Handenahalli Attibele,Kempegowda Bus Station,3,Handenahalli To Kempegowda Bus Station,Madivala,43432,5652,0
12883,360-J HDH-INF,DOWN,3115,7174,Handenahalli Attibele,Infosys Parking Lot,3,Handenahalli To Infosys Parking Lot,Attibele Chandapura Electronic City ,24087,2475,0
42826,360-K  Fly Over,UP,160,8546,Kempegowda Bus Station,Attibele Bus Stand,3,Kempegowda Bus Station To Attibele Bus Stand,Electronic City Fly Over,36165,4516,0
40840,360-K ATB-CPR,DOWN,8546,376,Attibele Bus Stand,Chandapura (Towards Electronic City),3,Attibele Bus Stand To Chandapura (Towards Electronic City),Guddahatti Gate   ,,7870,568
40173,360-K ATB-KMT,UP,3403,3014,Attibele Circle (Towards Yadavanahalli),KR Market (Kalasipalya),3,Attibele Circle (Towards Yadavanahalli) To KR Market (Kalasipalya),Electronic City  Lalbagh Main Gate,39176,5456,0
32188,360-K Fly Over,DOWN,8546,8456,Attibele Bus Stand,Kempegowda Bus Station,3,Attibele To Kempegowda Bus Station,Electronic City Fly Over,33944,4256,0
18826,360-K KMT-SNBS,UP,3014,64,KR Market (Kalasipalya),Shanthinagara TTMC,3,KR Market To Shanthinagara TTMC,Lalbagh West Gate,2992,670,0
23628,360-K UFLYO,UP,160,8546,Kempegowda Bus Station,Attibele Bus Stand,3,Kempegowda Bus Station To Attibele,Corporation Lalbagh Madivala Bommanahalli Electronic City Hebbagodi Chandapura Yadavanahalli Gate,36216,4145,0
28636,360-K UFLYO,DOWN,8546,8456,Attibele Bus Stand,Kempegowda Bus Station,3,Attibele To Kempegowda Bus Station,Chandapura Electronic City Bommanahalli Madivala Lakkasandra Lalbagh Minerva Circle Town Hall,33970,4264,0
29600,360-N,UP,3014,7177,KR Market (Kalasipalya),Narasapura,3,KR Market To Narasapura,Attibele,39279,4336,0
32037,360-N,DOWN,3620,3014,Narasapura,KR Market (Kalasipalya),3,Narasapura To KR Market,Attibele,39511,5174,0
24231,360-P,UP,3014,3130,KR Market (Kalasipalya),Bikkanahalli,3,KR Market To Bikkanahalli,Bengaluru Dairy Circle Madivala Attibele,49654,6259,0
32038,360-P,DOWN,3131,3014,Bikkanahalli,KR Market (Kalasipalya),3,Bikkanahalli To KR Market,Attibele Madivala Bengaluru Dairy Circle ,42083,5838,0
34796,360-P KBS,UP,160,3130,Kempegowda Bus Station,Bikkanahalli,3,Kempegowda Bus Station To Bikkanahalli,Bommanahalli ELC Chandapura Attibele,44033,5812,0
23569,360-Q,UP,3014,7101,KR Market (Kalasipalya),Dasanapura (Towards Attibele),3,KR Market To Dasanapura,Attibele,46019,5520,0
29234,360-Q,DOWN,7102,3014,Dasanapura (Balluru Cross),KR Market (Kalasipalya),3,Dasanapura To KR Market,Attibele,37914,4839,0
39936,360-Q ATB-LMG-KMT,DOWN,8546,3014,Attibele Bus Stand,KR Market (Kalasipalya),3,Attibele Bus Stand To KR Market (Kalasipalya),Electronic City  Bengaluru Dairy Circle ,39746,5550,0
33455,360-S,UP,160,3368,Kempegowda Bus Station,Samanduru,3,Kempegowda Bus Station To Samanduru,Chandapura,63968,6491,0
33458,360-S,DOWN,3367,8456,Samanduru,Kempegowda Bus Station,3,Samanduru To Kempegowda Bus Station,Central Silk Board,44224,5716,0
40233,360-S CPR-SMDR,UP,375,3368,Chandapura (Towards Attibele),Samanduru,3,Chandapura (Towards Attibele) To Samanduru,Attibele Circle  ,,17268,1662
40234,360-S SMDR-CPR,DOWN,3367,376,Samanduru,Chandapura (Towards Electronic City),3,Samanduru To Chandapura (Towards Electronic City),Attibele Circle,17186,1675,0
44175,360-S SMDR-SRN,DOWN,3367,1491,Samanduru,Surya Nagara,3,Samanduru To Surya Nagara,Attibele Circle,18455,1825,0
40390,361 CPR-SHK,UP,9424,7106,Chandapura (Towards Anekal),Sidi Hoskote,3,Chandapura (Towards Anekal) To Sidi Hoskote,Ramakrishnapura Gate,10055,1275,0
40388,361 SRN-SHK,UP,1491,7106,Surya Nagara,Sidi Hoskote,3,Surya Nagara To Sidi Hoskote,Ramakrishanapura Gate ,8771,1073,0
23632,361-A,UP,3014,7118,KR Market (Kalasipalya),Soppahalli,3,KR Market To Soppahalli,Chandapura,41907,5420,0
23633,361-A,DOWN,7117,3014,Soppahalli,KR Market (Kalasipalya),3,Soppahalli To KR Market,Chandapura,34595,4807,0
27482,361-B,UP,3014,9538,KR Market (Kalasipalya),Chikka Hagade,3,KR Market To Chikka Hagade,Chandapura,40047,5001,0
27484,361-B,DOWN,9540,3014,Chikka Hagade,KR Market (Kalasipalya),3,Chikka Hagade To KR Market,Chandapura,36127,5111,0
40240,361-B CPR-CHD,UP,9424,9538,Chandapura (Towards Anekal),Chikka Hagade,3,Chandapura (Towards Anekal) To Chikka Hagade,Ramakrishnapura Gate  ,,9075,992
40245,361-C  ELC-SRN,DOWN,42,1491,Electronic City (Towards Attibele),Surya Nagara,3,Electronic City (Towards Attibele) To Surya Nagara,Chandapura,7766,736,0
40002,361-C BMH-KMT,DOWN,47,3014,Bommanahalli (Towards St Johns),KR Market (Kalasipalya),3,Bommanahalli (Towards St Johns) To KR Market (Kalasipalya),Bengaluru Dairy Circle  Lalbagh Main Gate,13630,2632,0
44230,361-C CSB-ANK,UP,29,3340,Central Silk Board UFLY,Anekal,3,Central Silk Board UFLY To Anekal,CPR,60732,5948,0
29728,361-C FLYO,UP,3344,3014,Anekal,KR Market (Kalasipalya),3,Anekal To KR Market,,36477,5152,0
30476,361-C FLYO,DOWN,3014,3340,KR Market (Kalasipalya),Anekal,3,KR Market To Anekal,Electronic City Fly Over,36738,4966,0
40001,361-C KMT-BMH,UP,3014,36,KR Market (Kalasipalya),Bommanahalli (Towards Electronic City),3,KR Market (Kalasipalya) To Bommanahalli (Towards Electronic City),Lalbagh Main Gate  Bengaluru Dairy Circle ,11227,2141,0
40834,361-C KMT-CPR,UP,3014,375,KR Market (Kalasipalya),Chandapura (Towards Attibele),3,KR Market (Kalasipalya) To Chandapura (Towards Attibele),Lalbagh Main Gate  Bengaluru Dairy Circle ,25356,3139,0
40244,361-C SRN-ELC,UP,1489,6723,Surya Nagara,Electronic City (Towards Bommanahalli),3,Surya Nagara To Electronic City (Towards Bommanahalli),Chandapura,8360,1062,0
41016,361-C SRN-KMT,DOWN,1489,3014,Surya Nagara,KR Market (Kalasipalya),3,Surya Nagara To KR Market (Kalasipalya),Electronic City Lalbagh Main Gate,31134,5112,0
21880,361-C UNFLYO,UP,3014,3340,KR Market (Kalasipalya),Anekal,3,KR Market To Anekal,Chandapura,36740,4498,0
28638,361-C UNFLYO,DOWN,3344,3014,Anekal,KR Market (Kalasipalya),3,Anekal To KR Market,Chandapura,37544,5391,0
23955,361-D,DOWN,7114,3014,Chowdeshwari Temple (Towards Marasur Gate),KR Market (Kalasipalya),3,Chowdeshwari Temple To KR Market,Chandapura,33012,4675,0
28008,361-D,UP,3014,7113,KR Market (Kalasipalya),Chowdeshwari Temple (Towards Lingapura Cross),3,KR Market To Chowdeshwari Temple ,Chandapura,36937,4654,0
44164,361-D CDT-KBS,DOWN,7114,8456,Chowdeshwari Temple (Towards Marasur Gate),Kempegowda Bus Station,3,Chowdeshwari Temple (Towards Marasur Gate) To Kempegowda Bus Station,Electronic City lalbagh Main Gate,37213,5657,0
